set,method,metric,pair,a,b,n,a_mean,a_std,b_mean,b_std,diff_mean,diff_ci_low,diff_ci_high,p_perm,p_wilcoxon
Horizontal,LDA,Precision,boxcox_vs_histeq,boxcox,histeq,50,39.34301071151034,14.106465244542873,15.872575556275129,23.119778079713118,23.47043515523521,16.562759993591587,29.778812962919922,0.0,1.0490046520317264e-07
Horizontal,LDA,Precision,boxcox_vs_clahe,boxcox,clahe,50,39.34301071151034,14.106465244542873,26.15320108199335,10.13659345592992,13.18980962951699,9.869578162519018,16.412169048288092,0.0,2.3344064459251967e-09
Horizontal,LDA,Recall,boxcox_vs_histeq,boxcox,histeq,50,57.61765941221695,14.56659569415429,38.17938339075202,36.78667515599483,19.438276021464926,11.931353622954042,27.11060001770046,0.0,0.0009504084140701252
Horizontal,LDA,Recall,boxcox_vs_clahe,boxcox,clahe,50,57.61765941221695,14.56659569415429,63.55981704063953,11.835984534361215,-5.942157628422587,-7.416305989231203,-4.51879912473798,0.0,3.134559278805682e-10
Horizontal,QDA,IoU,boxcox_vs_histeq,boxcox,histeq,50,34.59315619217537,13.289682783370582,9.1225233400008,11.866936014406614,25.470632852174568,22.10757214829545,28.792522616940275,0.0,1.1100954635085597e-09
Horizontal,QDA,IoU,boxcox_vs_clahe,boxcox,clahe,50,34.59315619217537,13.289682783370582,32.142580384558876,12.87273415507572,2.450575807616493,1.1910450513319142,3.7489226741444206,0.0005,0.000367116559868208
Horizontal,QDA,Dice,boxcox_vs_histeq,boxcox,histeq,50,49.85423568282098,16.162296192365876,14.880697957543934,17.42670304201146,34.97353772527704,30.47251373153849,39.26781626919977,0.0,1.1100954635085597e-09
Horizontal,QDA,Dice,boxcox_vs_clahe,boxcox,clahe,50,49.85423568282098,16.162296192365876,47.132492170340036,15.992227997089408,2.7217435124809404,1.1652743567085657,4.288117225925013,0.0008,0.0009149367393188612
Horizontal,QDA,Precision,boxcox_vs_histeq,boxcox,histeq,50,63.52093445440269,17.31753223421953,10.827061807271676,16.590423630759744,52.693872647131,46.71489514266775,58.137489124067265,0.0,1.1812325186599063e-09
Horizontal,QDA,Precision,boxcox_vs_clahe,boxcox,clahe,50,63.52093445440269,17.31753223421953,54.02706354772672,14.181820078934662,9.49387090667597,5.20741730178534,13.292621486238069,0.0001,2.0039570713947796e-07
Horizontal,QDA,Recall,boxcox_vs_histeq,boxcox,histeq,50,46.38348313840202,19.839396940144315,40.20352252325138,38.466215102531095,6.179960615150632,-1.287606336477445,13.819969511688956,0.1087,0.1450394742666809
Horizontal,QDA,Recall,boxcox_vs_clahe,boxcox,clahe,50,46.38348313840202,19.839396940144315,48.41149247209043,20.11725677717375,-2.028009333688418,-3.4809755172781043,-0.544978404607065,0.0138,0.006730459669450184
Left,LDA,IoU,boxcox_vs_histeq,boxcox,histeq,50,29.46808162643137,12.041170273564155,10.287916439219481,7.788664431507569,19.18016518721189,15.490021669332291,22.727551301126418,0.0,2.6343371928305714e-12
Left,LDA,IoU,boxcox_vs_clahe,boxcox,clahe,50,29.46808162643137,12.041170273564155,29.211052052222453,10.770479206959308,0.25702957420892086,-2.7621735510650227,3.231477978212135,0.8698,0.8332778036429911
Left,LDA,Dice,boxcox_vs_histeq,boxcox,histeq,50,44.21680419038847,14.398081687658912,17.816200849801,12.231621384712394,26.40060334058748,21.50677067433491,31.091156838633104,0.0,2.239985974483716e-12
Left,LDA,Dice,boxcox_vs_clahe,boxcox,clahe,50,44.21680419038847,14.398081687658912,44.17427551525492,12.778253197979685,0.04252867513356756,-3.410788480749564,3.591898028804865,0.9813,0.9389922173111831
Left,LDA,Precision,boxcox_vs_histeq,boxcox,histeq,50,36.5432212275794,16.971172372937524,13.448739820899034,16.516415694319587,23.094481406680366,17.132326378196826,29.088718433733128,0.0,8.22989321136447e-09
Left,LDA,Precision,boxcox_vs_clahe,boxcox,clahe,50,36.5432212275794,16.971172372937524,33.6134849612908,12.616700931402185,2.9297362662885984,-1.884878038692853,7.904167333351008,0.2511,0.3044806608698192
Left,LDA,Recall,boxcox_vs_histeq,boxcox,histeq,50,64.18975702595347,14.202521707695912,57.096336224222846,34.24933905630104,7.093420801730628,0.7016391343289483,14.038838914374335,0.046,0.8407540567937097
Left,LDA,Recall,boxcox_vs_clahe,boxcox,clahe,50,64.18975702595347,14.202521707695912,68.2787228592416,10.570203356575922,-4.088965833288127,-5.913437574455869,-2.344288888844878,0.0,0.0001628744437223162
Left,QDA,IoU,boxcox_vs_histeq,boxcox,histeq,50,38.962042079619586,13.167522765285009,8.20344305247659,6.793031435993976,30.758599027142996,27.59928070400225,33.964321343831635,0.0,1.7763568394002505e-15
Left,QDA,IoU,boxcox_vs_clahe,boxcox,clahe,50,38.962042079619586,13.167522765285009,38.627652209886065,11.517589904296967,0.3343898697335198,-1.7191822648906858,2.322468206352698,0.7451,0.6118509675549912
Left,QDA,Dice,boxcox_vs_histeq,boxcox,histeq,50,54.75801672535863,14.271638553029433,14.487206430018135,11.058498392622274,40.27081029534049,36.46716768608353,43.84773193356127,0.0,1.7763568394002505e-15
Left,QDA,Dice,boxcox_vs_clahe,boxcox,clahe,50,54.75801672535863,14.271638553029433,54.70927153028925,12.606687899866733,0.04874519506937758,-2.086581686700767,2.1492582420564847,0.9672,0.7304479390240814
Left,QDA,Precision,boxcox_vs_histeq,boxcox,histeq,50,61.31185061023978,19.759456500648792,10.035305095953175,13.64623063936461,51.276545514286596,43.553149735502785,57.99981142769896,0.0,5.707434524993005e-12
Left,QDA,Precision,boxcox_vs_clahe,boxcox,clahe,50,61.31185061023978,19.759456500648792,55.78380919841426,14.797343277545963,5.528041411825523,1.2403388302818859,9.697036510221317,0.014,0.01531204751384152
Left,QDA,Recall,boxcox_vs_histeq,boxcox,histeq,50,55.46605291017398,17.593677910825804,55.46479561645833,37.077626517060814,0.0012572937156642983,-6.200610913174172,6.4862825756232905,0.9996,0.81837027658068
