set,method,metric,n,noBC_mean,noBC_std,BC_mean,BC_std,diff_mean,diff_ci_low,diff_ci_high,p_wilcoxon,p_perm
Horizontal,SVM,Accuracy,50,98.83279418945312,0.5847157022471542,98.806396484375,0.6030769898195023,-0.026397705078125666,-0.03909378051757922,-0.014922332763673803,7.245400790780159e-05,0.0
Horizontal,LightGBM,IoU,50,26.83171687418941,9.646507495677644,26.689401146375175,9.24091930609068,-0.14231572781423446,-0.5712045816074321,0.25722557494478854,0.7379536388336091,0.5169
Horizontal,LightGBM,Dice,50,41.43657904795818,11.772919508910432,41.321826022094335,11.391453379989319,-0.11475302586385311,-0.6341540946676103,0.3707070938531065,0.8791279663822171,0.6655
Horizontal,LightGBM,Precision,50,32.32578603697676,11.081302103250442,32.197528985601494,10.692623900755878,-0.1282570513752557,-0.7515919997088258,0.47152865745795014,0.7842886020465609,0.6943
Horizontal,LightGBM,Recall,50,60.42865621909663,13.014333740324535,60.40594342800879,13.136882900229013,-0.022712791087837303,-0.24667728023190535,0.2022684358184426,0.9433920568226559,0.85
Horizontal,LightGBM,Accuracy,50,98.28775024414062,1.02666593944812,98.28903198242188,0.9891053506755189,0.001281738281249556,-0.04284744262695486,0.049256134033203995,0.8671403651123638,0.9624
Horizontal,KNN,IoU,50,21.515074210847533,7.311147011601447,21.522585385425497,7.312954286625913,0.007511174577959467,-0.05911826590303697,0.07248056144789673,0.5384414229889405,0.8335
Horizontal,KNN,Dice,50,34.83923310060936,9.729843357201931,34.849288540755964,9.730127320098504,0.010055440146593764,-0.07972306299341382,0.09794586828335507,0.5163162566048354,0.8259
Horizontal,KNN,Precision,50,24.311324658405276,7.940561421792627,24.322327474249647,7.946064174508351,0.011002815844373431,-0.0829934834152122,0.10570486246562957,0.7053318084241582,0.8251
Horizontal,KNN,Recall,50,63.81875306423822,12.24339852878896,63.833014601435735,12.26590222152334,0.014261537197518992,-0.02178097062434243,0.04777224095944769,0.5430157923729039,0.434
Horizontal,KNN,Accuracy,50,97.60989379882812,1.2124780934918578,97.609130859375,1.2172529407635395,-0.0007629394531256661,-0.008544921875001343,0.007049560546876588,0.9395226718117433,0.8581
Horizontal,LDA,IoU,50,34.880802781483396,12.91577993176934,29.817383183688683,10.232365362693402,-5.063419597794714,-7.243568539577209,-3.1825886400200254,3.0854181432005134e-09,0.0
Horizontal,LDA,Dice,50,50.380711824419286,14.369120671429206,45.021632673774846,11.897717182827053,-5.359079150644439,-7.645512885103906,-3.2887197805682167,4.8571529021046445e-09,0.0
Horizontal,LDA,Precision,50,48.537851392343995,17.42401248086941,39.34301071151034,14.106465244542873,-9.194840680833655,-12.488781786635588,-6.182669954385022,3.0854181432005134e-09,0.0
Horizontal,LDA,Recall,50,54.706343476942585,11.672047161134486,57.61765941221695,14.56659569415429,2.911315935274354,1.839668355188832,3.9554060083813876,3.661540068410231e-07,0.0
Horizontal,LDA,Accuracy,50,98.91061401367188,0.7158939801763621,98.420166015625,1.3961741711434608,-0.4904479980468726,-0.775576019287105,-0.245388031005857,1.4695634192105317e-07,0.0
Horizontal,QDA,IoU,50,32.21896163370971,15.9226477615632,34.59315619217537,13.289682783370582,2.3741945584656596,0.08625853838083165,4.454572070982598,0.0010251160635235124,0.0366
Horizontal,QDA,Dice,50,46.379779930750146,20.15668192222201,49.85423568282098,16.162296192365876,3.4744557520708366,0.8464834148929155,6.015069183633321,0.0006715891126169993,0.0093
Horizontal,QDA,Precision,50,77.83095342631141,10.610780693124475,63.52093445440269,17.31753223421953,-14.310018971908715,-19.458547164163384,-10.260675547109825,1.34718902700115e-11,0.0
Horizontal,QDA,Recall,50,36.964984391982384,19.585463183784114,46.38348313840202,19.839396940144315,9.41849874641963,8.213076483297803,10.606078380724671,3.552713678800501e-15,0.0
Horizontal,QDA,Accuracy,50,99.2991943359375,0.275190540763603,99.0831298828125,0.8403731349207438,-0.216064453125,-0.39835586547851537,-0.07012557983398403,0.0017269241426750208,0.0003
Left,SVM,IoU,50,37.44932102279761,12.18949644098007,36.37653597553174,11.611142092892658,-1.0727850472658729,-1.4330030293322578,-0.7491389999985142,7.995470432417899e-08,0.0
