set,image,method,condition,lam,time_s,IoU,Dice,Precision,Recall,Accuracy
Left,046.jpg,LDA,raw,,0.001,0.3964968152866242,0.5678449258836944,0.5508849557522124,0.5858823529411765,0.988433837890625
Left,046.jpg,QDA,raw,,0.001,0.38478500551267913,0.5557324840764332,0.8596059113300493,0.41058823529411764,0.991485595703125
Left,046.jpg,LDA,boxcox,1.2805618233921148,0.001,0.365975696926376,0.5358451072736787,0.4825636192271442,0.6023529411764705,0.9864654541015625
Left,046.jpg,QDA,boxcox,1.2805618233921148,0.001,0.4395833333333333,0.6107091172214182,0.793233082706767,0.4964705882352941,0.991790771484375
Left,046.jpg,LDA,histeq,,0.001,0.1115140525838622,0.200652528548124,0.11647727272727272,0.7235294117647059,0.92523193359375
Left,046.jpg,QDA,histeq,,0.001,0.13591565436626174,0.23930589184826473,0.1444227959084267,0.6976470588235294,0.942474365234375
Left,046.jpg,LDA,clahe,,0.001,0.20514653323802717,0.3404507710557533,0.22759714512291832,0.6752941176470588,0.966064453125
Left,046.jpg,QDA,clahe,,0.001,0.36893203883495146,0.5390070921985816,0.5025432349949135,0.5811764705882353,0.9871063232421875
Left,053.jpg,LDA,raw,,0.001,0.6260245901639344,0.7700063011972275,0.8190348525469169,0.7265160523186682,0.9944305419921875
Left,053.jpg,QDA,raw,,0.001,0.5981941309255079,0.748587570621469,0.9217391304347826,0.6302021403091558,0.99456787109375
Left,053.jpg,LDA,boxcox,3.1736569146639435,0.001,0.34979633401221993,0.5182949830252734,0.37955801104972375,0.816884661117717,0.9805145263671875
Left,053.jpg,QDA,boxcox,3.1736569146639435,0.001,0.5823475887170154,0.7360552041403106,0.7126948775055679,0.760998810939358,0.9929962158203125
Left,053.jpg,LDA,histeq,,0.001,0.12732598208132323,0.22589026440470733,0.12960364784286216,0.8787158145065398,0.9227142333984375
Left,053.jpg,QDA,histeq,,0.001,0.09358091490408264,0.1711458450466659,0.09451068057625435,0.9048751486325802,0.8875274658203125
Left,053.jpg,LDA,clahe,,0.001,0.4010856453558504,0.5725355144210074,0.44871794871794873,0.7907253269916765,0.9848480224609375
Left,053.jpg,QDA,clahe,,0.001,0.5710172744721689,0.7269395235186317,0.7474874371859297,0.7074910820451843,0.9931793212890625
Left,054.jpg,LDA,raw,,0.001,0.10157618213660245,0.18441971383147854,0.11143131604226705,0.5345622119815668,0.953033447265625
Left,054.jpg,QDA,raw,,0.001,0.23319327731092437,0.3781942078364566,0.42447418738049714,0.34101382488479265,0.988861083984375
Left,054.jpg,LDA,boxcox,1.7176103561512834,0.001,0.09855972889014403,0.1794344473007712,0.10774930534115468,0.5360983102918587,0.9512939453125
Left,054.jpg,QDA,boxcox,1.7176103561512834,0.001,0.19408642911296436,0.3250793650793651,0.27705627705627706,0.3932411674347158,0.9837799072265625
Left,054.jpg,LDA,histeq,,0.001,0.22657743785850862,0.36944660950896335,0.375,0.3640552995391705,0.9876556396484375
Left,054.jpg,QDA,histeq,,0.001,0.1746987951807229,0.29743589743589743,0.8992248062015504,0.1781874039938556,0.99163818359375
Left,054.jpg,LDA,clahe,,0.001,0.18032159264931089,0.30554654557249433,0.19366776315789475,0.7235023041474654,0.9673309326171875
Left,054.jpg,QDA,clahe,,0.001,0.28524046434494194,0.44387096774193546,0.38264738598442716,0.5284178187403994,0.986846923828125
Left,056.jpg,LDA,raw,,0.001,0.2127022168963451,0.35079051383399207,0.2726574500768049,0.4916897506925208,0.979949951171875
Left,056.jpg,QDA,raw,,0.001,0.25143513203214696,0.4018348623853211,0.595108695652174,0.3033240997229917,0.99005126953125
Left,056.jpg,LDA,boxcox,0.5842814973361229,0.001,0.2127022168963451,0.35079051383399207,0.2726574500768049,0.4916897506925208,0.979949951171875
Left,056.jpg,QDA,boxcox,0.5842814973361229,0.001,0.2557628979143798,0.40734265734265734,0.5521327014218009,0.32271468144044324,0.989654541015625
Left,056.jpg,LDA,histeq,,0.001,0.2518518518518518,0.40236686390532544,0.43174603174603177,0.3767313019390582,0.9876708984375
Left,056.jpg,QDA,histeq,,0.001,0.0,0.0,0.0,0.0,0.988983154296875
Left,056.jpg,LDA,clahe,,0.001,0.19133278822567457,0.3212079615648593,0.21350364963503649,0.6481994459833795,0.969818115234375
Left,056.jpg,QDA,clahe,,0.001,0.28619246861924685,0.4450227716330514,0.4196319018404908,0.47368421052631576,0.9869842529296875
Left,057.jpg,LDA,raw,,0.001,0.17292549969715323,0.294861864187968,0.1928402566700439,0.6260964912280702,0.9583282470703125
Left,057.jpg,QDA,raw,,0.001,0.39690721649484534,0.5682656826568265,0.6470588235294118,0.506578947368421,0.989288330078125
Left,057.jpg,LDA,boxcox,1.6214949352819639,0.001,0.14732142857142858,0.25680933852140075,0.15993537964458804,0.6513157894736842,0.947540283203125
Left,057.jpg,QDA,boxcox,1.6214949352819639,0.001,0.2229114971050455,0.3645586743320933,0.26356968215158927,0.5910087719298246,0.9713287353515625
Left,057.jpg,LDA,histeq,,0.001,0.09701937406855439,0.1768781415568537,0.10094588308264847,0.7138157894736842,0.9075469970703125
Left,057.jpg,QDA,histeq,,0.001,0.07671201554818795,0.14249309832236143,0.07888549259346343,0.7357456140350878,0.87677001953125
Left,057.jpg,LDA,clahe,,0.001,0.21266666666666667,0.3507421660252886,0.23404255319148937,0.6995614035087719,0.963958740234375
Left,057.jpg,QDA,clahe,,0.001,0.3092105263157895,0.4723618090452261,0.3821138211382114,0.618421052631579,0.98077392578125
Left,059.jpg,LDA,raw,,0.001,0.31620553359683795,0.4804804804804805,0.43310131477184843,0.5394990366088632,0.9815216064453125
Left,059.jpg,QDA,raw,,0.001,0.38626609442060084,0.5572755417956656,0.779896013864818,0.43352601156069365,0.9890899658203125
Left,059.jpg,LDA,boxcox,1.5543589808975768,0.001,0.2694610778443114,0.42452830188679247,0.340512223515716,0.5635838150289018,0.975799560546875
Left,059.jpg,QDA,boxcox,1.5543589808975768,0.001,0.37334315169366716,0.5436997319034853,0.6130592503022975,0.4884393063583815,0.9870147705078125
Left,059.jpg,LDA,histeq,,0.001,0.09740724824523707,0.17752251664273594,0.10267250490714178,0.6551059730250481,0.9038543701171875
Left,059.jpg,QDA,histeq,,0.001,0.09740724824523707,0.17752251664273594,0.10267250490714178,0.6551059730250481,0.9038543701171875
Left,059.jpg,LDA,clahe,,0.001,0.2746071133167907,0.4308890330953926,0.324853228962818,0.6396917148362236,0.973236083984375
Left,059.jpg,QDA,clahe,,0.001,0.36869340232858994,0.5387523629489603,0.5287569573283859,0.5491329479768786,0.985107421875
Left,060.jpg,LDA,raw,,0.001,0.4297956493078444,0.6011987090825265,0.5640138408304498,0.6436327739387957,0.9868011474609375
Left,060.jpg,QDA,raw,,0.001,0.5508474576271186,0.7103825136612022,0.9227129337539433,0.577492596248766,0.9927215576171875
Left,060.jpg,LDA,boxcox,2.3898860675296594,0.001,0.1975964225824483,0.32998833138856476,0.21607579462102688,0.6979269496544916,0.9561920166015625
Left,060.jpg,QDA,boxcox,2.3898860675296594,0.001,0.3596774193548387,0.5290628706998813,0.4412928759894459,0.6604146100691016,0.9818267822265625
Left,060.jpg,LDA,histeq,,0.001,0.0955837126337803,0.17448910846620255,0.0984416571645762,0.7670286278381047,0.8878173828125
Left,060.jpg,QDA,histeq,,0.001,0.07640942478298197,0.14197093229351293,0.0779865641125499,0.790720631786772,0.852264404296875
Left,060.jpg,LDA,clahe,,0.001,0.32155322862129143,0.4866292505777484,0.3655753968253968,0.7275419545903258,0.9762725830078125
Left,060.jpg,QDA,clahe,,0.001,0.40816326530612246,0.5797101449275363,0.5101275318829708,0.6712734452122409,0.984954833984375
Left,061.jpg,LDA,raw,,0.001,0.6015569709837226,0.7512152010605391,0.8629441624365483,0.6651017214397497,0.9914093017578125
Left,061.jpg,QDA,raw,,0.001,0.5820341499628805,0.7358047864852182,0.9191090269636577,0.6134585289514867,0.9914093017578125
Left,061.jpg,LDA,boxcox,1.9093676982903374,0.001,0.4879958246346555,0.6559102069449316,0.5944055944055944,0.7316118935837246,0.9850311279296875
Left,061.jpg,QDA,boxcox,1.9093676982903374,0.001,0.5975609756097561,0.7480916030534351,0.8166666666666667,0.6901408450704225,0.990936279296875
Left,061.jpg,LDA,histeq,,0.001,0.09643916913946587,0.17591339648173207,0.09861558884885264,0.8137715179968701,0.851318359375
Left,061.jpg,QDA,histeq,,0.001,0.08738512949039265,0.16072526121696373,0.08911228488669279,0.8184663536776213,0.83331298828125
Left,061.jpg,LDA,clahe,,0.001,0.4455490284681428,0.6164426383244764,0.5132743362831859,0.7715179968701096,0.9812774658203125
Left,061.jpg,QDA,clahe,,0.001,0.5337876206700738,0.6960385042576823,0.6605762473647224,0.7355242566510172,0.9874725341796875
Left,063.jpg,LDA,raw,,0.001,0.6529653552554316,0.7900532859680284,0.86875,0.7244299674267101,0.9909820556640625
Left,063.jpg,QDA,raw,,0.001,0.6558167570825799,0.7921368765926465,0.8976897689768977,0.7087947882736156,0.9912872314453125
Left,063.jpg,LDA,boxcox,2.2652133138905732,0.001,0.45135230066736914,0.6219748305905131,0.4948016942626107,0.8371335504885994,0.976165771484375
Left,063.jpg,QDA,boxcox,2.2652133138905732,0.001,0.5591836734693878,0.7172774869109948,0.6479243300052548,0.8032573289902281,0.98516845703125
Left,063.jpg,LDA,histeq,,0.001,0.10898528272656856,0.1965495564713278,0.11007667031763417,0.9166123778501629,0.8244781494140625
Left,063.jpg,QDA,histeq,,0.001,0.10898528272656856,0.1965495564713278,0.11007667031763417,0.9166123778501629,0.8244781494140625
Left,063.jpg,LDA,clahe,,0.001,0.3702090592334495,0.540368722186904,0.4004396984924623,0.8306188925081434,0.9669036865234375
Left,063.jpg,QDA,clahe,,0.001,0.4038961038961039,0.5753931544865865,0.44603800645392616,0.8104234527687296,0.97198486328125
Left,065.jpg,LDA,raw,,0.001,0.5675824175824176,0.7241500175254119,0.7573313782991202,0.6937541974479516,0.9879913330078125
Left,065.jpg,QDA,raw,,0.001,0.572480181200453,0.7281238746849118,0.7849378881987578,0.6789791806581599,0.9884796142578125
Left,065.jpg,LDA,boxcox,2.47055928292296,0.001,0.33431777909037214,0.5011066843736166,0.3737206999009574,0.7602417730020148,0.965606689453125
Left,065.jpg,QDA,boxcox,2.47055928292296,0.001,0.47305389221556887,0.6422764227642277,0.5657289002557545,0.7427803895231699,0.981201171875
Left,065.jpg,LDA,histeq,,0.001,0.09478411597856917,0.1731558114429651,0.09696920844752539,0.8079247817327065,0.8246917724609375
Left,065.jpg,QDA,histeq,,0.001,0.09478411597856917,0.1731558114429651,0.09696920844752539,0.8079247817327065,0.8246917724609375
Left,065.jpg,LDA,clahe,,0.001,0.45421831267493,0.6246906791311521,0.5288640595903166,0.7629281396910679,0.9791717529296875
Left,065.jpg,QDA,clahe,,0.001,0.4796091758708581,0.6482917025552685,0.5661985957873621,0.758226997985225,0.9813079833984375
Left,067.jpg,LDA,raw,,0.001,0.4149821640903686,0.5865546218487395,0.6293958521190262,0.5491738788355626,0.9849853515625
Left,067.jpg,QDA,raw,,0.001,0.43413978494623656,0.60543580131209,0.7485515643105446,0.5082612116443745,0.987152099609375
Left,067.jpg,LDA,boxcox,2.8260137842306965,0.001,0.16981541802388708,0.2903285687766846,0.18999028182701652,0.6152635719905586,0.9416656494140625
Left,067.jpg,QDA,boxcox,2.8260137842306965,0.001,0.3485204321277595,0.5168930686172065,0.46375,0.5837922895357985,0.9788360595703125
Left,067.jpg,LDA,histeq,,0.001,0.08544821940237413,0.15744319788818706,0.08943873179091688,0.6569630212431157,0.8636322021484375
Left,067.jpg,QDA,histeq,,0.001,0.10238481708078412,0.18575150073621022,0.10849431066419687,0.6451612903225806,0.8903045654296875
Left,067.jpg,LDA,clahe,,0.001,0.33930913860953216,0.5066927848514529,0.4330357142857143,0.6105428796223447,0.9769439697265625
Left,067.jpg,QDA,clahe,,0.001,0.41149686966420035,0.5830645161290322,0.598014888337469,0.5688434303697876,0.984222412109375
Left,122.jpg,LDA,raw,,0.001,0.4628410159924741,0.6327974276527332,0.6397919375812744,0.6259541984732825,0.9912872314453125
Left,122.jpg,QDA,raw,,0.001,0.44405182567726736,0.6150081566068516,0.8568181818181818,0.4796437659033079,0.9927978515625
Left,122.jpg,LDA,boxcox,1.0820599688456727,0.001,0.4569842738205365,0.6273015873015872,0.6261089987325729,0.628498727735369,0.9910430908203125
Left,122.jpg,QDA,boxcox,1.0820599688456727,0.001,0.4814422057264051,0.6499642090193272,0.7430441898527005,0.5776081424936387,0.9925384521484375
Left,122.jpg,LDA,histeq,,0.001,0.12372604973501834,0.22020678396517324,0.12841125449545165,0.772264631043257,0.9344024658203125
Left,122.jpg,QDA,histeq,,0.001,0.12372604973501834,0.22020678396517324,0.12841125449545165,0.772264631043257,0.9344024658203125
Left,122.jpg,LDA,clahe,,0.001,0.29375,0.45410628019323673,0.34674714956405095,0.6577608142493638,0.9810333251953125
Left,122.jpg,QDA,clahe,,0.001,0.4461538461538462,0.6170212765957447,0.6971153846153846,0.5534351145038168,0.99176025390625
Left,125.jpg,LDA,raw,,0.001,0.6325719960278053,0.7749391727493917,0.8156209987195903,0.7381228273464658,0.994354248046875
Left,125.jpg,QDA,raw,,0.001,0.572737686139748,0.7283321194464676,0.9803921568627451,0.5793742757821553,0.9943084716796875
Left,125.jpg,LDA,boxcox,1.3584083167789025,0.001,0.6025408348457351,0.7519818799546999,0.7353266888150609,0.7694090382387022,0.993316650390625
Left,125.jpg,QDA,boxcox,1.3584083167789025,0.001,0.6262083780880774,0.7701453104359313,0.8955453149001537,0.6755504055619931,0.99468994140625
Left,125.jpg,LDA,histeq,,0.001,0.13293515358361774,0.2346738966711854,0.13486842105263158,0.9026651216685979,0.9224700927734375
Left,125.jpg,QDA,histeq,,0.001,0.10946869334820807,0.19733534439416792,0.11067249400817708,0.9096176129779838,0.902557373046875
Left,125.jpg,LDA,clahe,,0.001,0.4397031539888683,0.6108247422680413,0.4853242320819113,0.8238702201622248,0.986175537109375
Left,125.jpg,QDA,clahe,,0.001,0.5936599423631124,0.7450271247739603,0.7763819095477387,0.7161066048667439,0.9935455322265625
Left,126.jpg,LDA,raw,,0.001,0.5728580362726704,0.7284294234592446,0.7429034874290349,0.7145085803432137,0.9895782470703125
Left,126.jpg,QDA,raw,,0.001,0.5883201153568853,0.7408079891057648,0.8859934853420195,0.6365054602184087,0.9912872314453125
Left,126.jpg,LDA,boxcox,1.5155414471598865,0.001,0.5127523910733263,0.6779065683175273,0.6166134185303515,0.7527301092043682,0.9860076904296875
Left,126.jpg,QDA,boxcox,1.5155414471598865,0.001,0.5805003207184093,0.734577922077922,0.7656514382402707,0.7059282371294852,0.990020751953125
Left,126.jpg,LDA,histeq,,0.001,0.10310904872389791,0.18694262157159683,0.10477178423236515,0.8666146645865834,0.8525390625
Left,126.jpg,QDA,histeq,,0.001,0.10310904872389791,0.18694262157159683,0.10477178423236515,0.8666146645865834,0.8525390625
Left,126.jpg,LDA,clahe,,0.001,0.2964854310603785,0.45736793327154773,0.32531311799604484,0.7698907956318253,0.964263916015625
Left,126.jpg,QDA,clahe,,0.001,0.4028998242530756,0.5743814594425305,0.47985347985347987,0.7152886115444618,0.9792633056640625
Left,136.jpg,LDA,raw,,0.001,0.4028841820639928,0.574365563764857,0.47527910685805425,0.7256493506493507,0.9797821044921875
Left,136.jpg,QDA,raw,,0.001,0.5507947477539737,0.7103386809269162,0.7875494071146245,0.6469155844155844,0.990081787109375
Left,136.jpg,LDA,boxcox,1.8979846804113827,0.001,0.2653117275473771,0.4193618406772303,0.2862222222222222,0.7840909090909091,0.9591827392578125
Left,136.jpg,QDA,boxcox,1.8979846804113827,0.001,0.4269879518072289,0.5984464707868963,0.5124349334875651,0.7191558441558441,0.9818572998046875
Left,136.jpg,LDA,histeq,,0.001,0.1039667622910278,0.18835125448028675,0.10586220789685738,0.8530844155844156,0.861785888671875
Left,136.jpg,QDA,histeq,,0.001,0.09649443125798796,0.17600532844892183,0.09806104462380555,0.8579545454545454,0.8489837646484375
Left,136.jpg,LDA,clahe,,0.001,0.304199066874028,0.466491772000954,0.3302938196555218,0.7938311688311688,0.9658660888671875
Left,136.jpg,QDA,clahe,,0.001,0.3703125,0.540478905359179,0.4165202108963093,0.7694805194805194,0.97540283203125
Left,138.jpg,LDA,raw,,0.001,0.20247493065927033,0.336763662171753,0.2425249169435216,0.5507835171213,0.942962646484375
Left,138.jpg,QDA,raw,,0.001,0.21435717858929465,0.353038105046344,0.2736270753512133,0.4973882762623331,0.9520721435546875
Left,138.jpg,LDA,boxcox,3.223273683574305,0.001,0.14014598540145987,0.24583866837387963,0.150607922604262,0.6686012768427162,0.89215087890625
Left,138.jpg,QDA,boxcox,3.223273683574305,0.001,0.15742761530627092,0.2720301697045883,0.17362002567394094,0.6279744631456762,0.9116363525390625
Left,138.jpg,LDA,histeq,,0.001,0.09303594570629561,0.17023400936037442,0.09537127674451126,0.791642484039466,0.7971038818359375
Left,138.jpg,QDA,histeq,,0.001,0.08453398696717881,0.1558899729893611,0.08612498477281033,0.820661636680209,0.7663421630859375
Left,138.jpg,LDA,clahe,,0.001,0.20333660451422964,0.3379546566628609,0.23502722323049002,0.6012768427161926,0.9380645751953125
Left,138.jpg,QDA,clahe,,0.001,0.24361493123772102,0.39178515007898895,0.29691709069140976,0.575739988392339,0.9530029296875
Left,189.jpg,LDA,raw,,0.001,0.4076923076923077,0.5792349726775956,0.5742145178764897,0.5843439911797134,0.988250732421875
Left,189.jpg,QDA,raw,,0.001,0.42574257425742573,0.5972222222222222,0.6986706056129985,0.5214994487320838,0.990264892578125
Left,189.jpg,LDA,boxcox,3.159751061865725,0.001,0.24388379204892965,0.39213275968039335,0.27183638687686407,0.7034178610804851,0.969818115234375
Left,189.jpg,QDA,boxcox,3.159751061865725,0.001,0.3834126444595513,0.5542997542997543,0.5,0.6218302094818081,0.9861602783203125
Left,189.jpg,LDA,histeq,,0.001,0.09964558342420937,0.18123218048840958,0.1020949720670391,0.8059536934950385,0.8992156982421875
Left,189.jpg,QDA,histeq,,0.001,0.07580660978719231,0.14092980856882406,0.07681605882937494,0.8522601984564498,0.856201171875
Left,189.jpg,LDA,clahe,,0.001,0.2730593607305936,0.42898134863701576,0.31791600212652843,0.659316427783903,0.9757080078125
Left,189.jpg,QDA,clahe,,0.001,0.31597023468803664,0.4802087864288821,0.39655172413793105,0.6085997794928335,0.9817657470703125
Left,190.jpg,LDA,raw,,0.001,0.4981923355025307,0.665057915057915,0.6788177339901478,0.651844843897824,0.989410400390625
Left,190.jpg,QDA,raw,,0.001,0.5068912710566615,0.6727642276422764,0.7266739846322722,0.6263008514664143,0.99017333984375
Left,190.jpg,LDA,boxcox,3.7804911813298845,0.001,0.23846153846153847,0.38509316770186336,0.25440729483282676,0.7918637653736992,0.9592132568359375
Left,190.jpg,QDA,boxcox,3.7804911813298845,0.001,0.3572401270994099,0.5264214046822743,0.40713916192446975,0.7445600756859035,0.9783935546875
