set,method,metric,transform,n,raw_mean,raw_std,tf_mean,tf_std,diff_mean,diff_ci_low,diff_ci_high,p_perm,p_wilcoxon
Big,LDA,IoU,boxcox,50,36.24956668485354,11.86413611176066,24.95347190913446,8.878256580496638,-11.29609477571908,-13.755950970947714,-8.943612294477502,0.0,1.7763568394002505e-14
Big,LDA,IoU,histeq,50,36.24956668485354,11.86413611176066,10.326165477033012,3.870095876792902,-25.923401207820522,-29.28574261309543,-22.550681936010193,0.0,3.552713678800501e-15
Big,LDA,IoU,clahe,50,36.24956668485354,11.86413611176066,25.876515311010223,8.52458999651894,-10.373051373843312,-11.911835170058364,-8.77588792326437,0.0,3.0020430585864233e-13
Big,LDA,Dice,boxcox,50,52.089150380309476,13.222127927369593,39.16658765979742,11.154009014099966,-12.922562720512065,-15.642814933385434,-10.255326043303327,0.0,1.7763568394002505e-14
Big,LDA,Dice,histeq,50,52.089150380309476,13.222127927369593,18.49902042016835,6.430088608987167,-33.59012996014114,-37.40790158248211,-29.605442934426527,0.0,3.552713678800501e-15
Big,LDA,Dice,clahe,50,52.089150380309476,13.222127927369593,40.42611291687123,10.412968007422286,-11.663037463438247,-13.338690662925796,-9.868765653647088,0.0,3.0020430585864233e-13
Big,LDA,Precision,boxcox,50,52.396747863870615,18.880718434783255,30.60588481202994,14.342009774887995,-21.790863051840674,-26.288326287685837,-17.4787565070647,0.0,7.638334409421077e-14
Big,LDA,Precision,histeq,50,52.396747863870615,18.880718434783255,10.757731088704253,4.131755302634652,-41.63901677516637,-46.77734292268484,-36.14088846019346,0.0,1.7763568394002505e-15
Big,LDA,Precision,clahe,50,52.396747863870615,18.880718434783255,30.688688534758573,10.603286253183066,-21.708059329112036,-24.81928587209568,-18.55682141000372,0.0,2.433608869978343e-13
Big,LDA,Recall,boxcox,50,56.31642695566249,8.25597557638268,65.17730330607134,10.954508672412091,8.860876350408862,6.735647716619944,11.343115093557094,0.0,1.2434497875801753e-13
Big,LDA,Recall,histeq,50,56.31642695566249,8.25597557638268,71.20374190720744,20.690005469336775,14.887314951544958,9.257883768339696,19.57120133484309,0.0,2.8391607465039215e-07
Big,LDA,Recall,clahe,50,56.31642695566249,8.25597557638268,63.09019172331416,7.950630003589514,6.7737647676516755,5.410600819494929,7.909288645137173,0.0,5.610267805877811e-11
Big,QDA,IoU,boxcox,50,37.560912493703796,10.784928408755684,33.12004660536153,11.1641195798443,-4.440865888342268,-6.701608565599551,-2.3857297756280085,0.0005,0.0008806696990912855
Big,QDA,IoU,histeq,50,37.560912493703796,10.784928408755684,10.703475051304748,5.234178587141868,-26.85743744239904,-30.119387571682633,-23.558303130826307,0.0,1.7763568394002505e-15
Big,QDA,IoU,clahe,50,37.560912493703796,10.784928408755684,33.319639574034824,9.232412166729711,-4.24127291966896,-5.998593858708175,-2.474875826061612,0.0,2.5552926345540072e-05
Big,QDA,Dice,boxcox,50,53.7190528405587,11.64422741667746,48.71294504836147,12.815681542981459,-5.006107792197226,-7.453405629603653,-2.6481848030818216,0.0,0.0008156048825487261
Big,QDA,Dice,histeq,50,53.7190528405587,11.64422741667746,18.966564767843884,8.054286643477267,-34.75248807271481,-38.49363995642251,-30.801439604884035,0.0,1.7763568394002505e-15
Big,QDA,Dice,clahe,50,53.7190528405587,11.64422741667746,49.28254193291996,10.39289561188156,-4.436510907638742,-6.365864924247752,-2.5441005184951035,0.0,7.155652345502972e-05
Big,QDA,Precision,boxcox,50,67.94790901692954,17.0387300649176,48.08267469466813,19.14841159020845,-19.865234322261415,-23.809146383516126,-16.190944467165018,0.0,1.7763568394002505e-15
Big,QDA,Precision,histeq,50,67.94790901692954,17.0387300649176,12.04481030182671,10.655895479334953,-55.90309871510283,-61.16356619347813,-50.19223468425796,0.0,3.552713678800501e-15
Big,QDA,Precision,clahe,50,67.94790901692954,17.0387300649176,46.72821804070888,14.465172139203611,-21.21969097622066,-24.263601477064014,-18.219115267835203,0.0,1.7763568394002505e-15
Big,QDA,Recall,boxcox,50,46.365740327714846,10.683068776563074,58.15229323847389,13.46958406222703,11.786552910759045,9.20580464345348,14.859212912305969,0.0,1.7763568394002505e-15
Big,QDA,Recall,histeq,50,46.365740327714846,10.683068776563074,70.91007911450787,21.51176669251841,24.544338786793016,19.04452624516402,29.47382501062787,0.0,1.6183291151605772e-08
Big,QDA,Recall,clahe,50,46.365740327714846,10.683068776563074,55.98344044327265,10.64995799402461,9.617700115557797,8.646567095313499,10.573432654837609,0.0,3.552713678800501e-15
