set,method,metric,n,noBC_mean,noBC_std,BC_mean,BC_std,diff,ci_low,ci_high,p_perm,p_wilcoxon
Vertical,LDA,Dice,10,20.26817050051456,17.016604858047742,8.319774658549044,5.854126585328443,-11.948395841965517,-21.080044636293234,-2.684399079645116,0.0398,0.064453125
Vertical,LDA,Precision,10,14.339037715897918,14.792221391917563,4.844792138068089,3.785030147455691,-9.494245577829831,-17.6351282578726,-2.0809327769884476,0.0535,0.064453125
Vertical,LDA,Recall,10,66.63555252108517,17.46891561139106,69.7593260781367,23.489193599555964,3.1237735570515324,-11.371659975203992,14.18825765466772,0.6762,0.322265625
Vertical,LDA,Accuracy,10,85.33660888671875,29.6596922396116,82.25799560546875,18.340425262625413,-3.07861328125,-22.86050033569336,22.449779510498026,0.7768,0.232421875
Vertical,QDA,IoU,10,19.514771601227963,13.331452604335613,5.728277662788905,3.910424026313482,-13.786493938439056,-21.48517516332444,-5.820017890047015,0.0172,0.01953125
Vertical,QDA,Dice,10,30.724699070389406,19.30672813553257,10.612630080832677,6.7113625862807655,-20.112068989556732,-31.416071355366213,-7.965461391362363,0.0205,0.01953125
Vertical,QDA,Precision,10,24.61276006100976,18.784506122767873,6.4291501328623575,4.566273113545287,-18.183609928147398,-29.11550701929826,-7.096158047770465,0.0193,0.01953125
Vertical,QDA,Recall,10,60.424411149365184,19.244367547591164,66.77756846776879,23.730442724003463,6.353157318403599,-8.36599214785654,17.46740189779842,0.3861,0.16015625
Vertical,QDA,Accuracy,10,88.54522705078125,29.924422728821387,86.65740966796875,16.14142999734745,-1.8878173828125,-20.35988616943359,22.37548828125,0.8746,0.130859375
Horizontal,SVM,IoU,10,6.152381155088828,5.564589126454811,7.8154866167914365,10.218140449266143,1.66310546170261,-5.967056319032126,10.462143556350346,0.7096,1.0
Horizontal,SVM,Dice,10,11.144474721544881,9.483703320586548,13.156800475698235,15.73720237967002,2.012325754153355,-10.216432528328227,15.58535615820139,0.7819,1.0
Horizontal,SVM,Precision,10,7.053964365948835,7.249697555553015,40.98624509412375,37.41383373162439,33.93228072817493,8.441539665283928,58.943947226539784,0.0396,0.083984375
Horizontal,SVM,Recall,10,66.21046090444904,16.65810956049181,46.379872021275816,41.91434633608208,-19.830588883173238,-49.733389447862386,11.550770514889438,0.2487,0.193359375
Horizontal,SVM,Accuracy,10,85.42083740234375,11.298031434040666,73.84384155273438,38.92691209242489,-11.576995849609375,-40.43720245361329,13.677299499511717,0.4456,0.921875
Horizontal,LightGBM,IoU,10,2.802802965665052,1.5882128107613076,1.832079786567539,2.028361540997296,-0.9707231790975132,-2.3374114827726493,0.7912808183532738,0.2955,0.10546875
Horizontal,LightGBM,Dice,10,5.411506742004151,2.968233877280358,3.5308412591738656,3.760045034580977,-1.880665482830285,-4.483805637824349,1.499231981867017,0.2684,0.10546875
Horizontal,LightGBM,Precision,10,2.8634766169737347,1.6410264722226457,4.024640070571769,8.844188967932649,1.161163453598034,-2.4358613252349097,7.355191070736576,0.9978,0.10546875
Horizontal,LightGBM,Recall,10,67.59306978720593,14.330864426878371,56.631049382995435,33.0005884949387,-10.962020404210495,-34.11507821088979,12.758395371780843,0.3924,0.431640625
Horizontal,LightGBM,Accuracy,10,79.8248291015625,9.900318272376575,62.914886474609375,28.49048384076715,-16.909942626953125,-38.05895233154297,2.006690979003893,0.1759,0.322265625
Horizontal,KNN,IoU,10,2.5686558634042367,1.7092742202067923,1.6756411405890497,1.7784151553104917,-0.893014722815187,-2.2085784802772532,0.6959475514738982,0.277,0.10546875
Horizontal,KNN,Dice,10,4.960721416496551,3.1962367222803114,3.2436939432382546,3.326441752985765,-1.717027473258296,-4.113649667342302,1.2617522513132358,0.2571,0.10546875
Horizontal,KNN,Precision,10,2.6218748545103443,1.7624808590021974,2.3435729396736904,3.800614045777976,-0.2783019148366538,-2.2614879791865303,2.5764668490241203,0.9176,0.10546875
Horizontal,KNN,Recall,10,69.30870692241807,15.715384541082447,55.62164519128012,31.39536253705027,-13.68706173113795,-36.19782130012288,10.933443466256609,0.3,0.322265625
Horizontal,KNN,Accuracy,10,76.06277465820312,12.567981315829426,62.886962890625,24.96983001184412,-13.175811767578125,-33.609405517578125,5.328369140625,0.2543,0.625
Horizontal,LDA,IoU,10,4.842236593150116,4.514357026166462,7.986439265976056,9.569717233121636,3.1442026728259402,-3.6203624548680224,10.5877251423713,0.4254,0.6953125
Horizontal,LDA,Dice,10,8.931757969632281,7.886575457944126,13.57430196002219,15.274953590811863,4.642543990389907,-6.622435704833672,17.188394793890794,0.48,0.6953125
Horizontal,LDA,Precision,10,5.348001764315296,5.511187214472211,28.25695783540711,33.80840076686859,22.908956071091815,1.2177001811519224,44.734877104746616,0.1211,0.431640625
Horizontal,LDA,Recall,10,70.05113653583814,17.347479513122273,58.41685627411897,36.77928817745026,-11.634280261719166,-38.20175329874657,14.54089788472831,0.4237,0.4921875
Horizontal,LDA,Accuracy,10,80.45623779296875,13.735562683886535,70.82504272460938,34.889963861320695,-9.631195068359375,-36.3433494567871,14.215286254882809,0.4989,0.845703125
Horizontal,QDA,IoU,10,8.47757886294681,7.546767676749119,6.637320679233974,6.17009056920908,-1.8402581837128376,-8.642989140655843,5.211185293324581,0.6351,0.6953125
Horizontal,QDA,Dice,10,14.855548738032635,12.376195438771768,11.908835838352664,10.377203507965813,-2.946712899679968,-14.464502765771648,8.400064642214309,0.6394,0.6953125
Horizontal,QDA,Precision,10,10.369611116929462,10.45417829659329,33.362763812498066,38.317892613685174,22.9931526955686,-2.897707818941836,49.86081377907334,0.1227,0.375
Horizontal,QDA,Recall,10,63.21885121816335,17.239685980825172,52.06524022227186,38.32445130176446,-11.153610995891494,-37.54056491674592,16.31902136961868,0.4614,0.4921875
Horizontal,QDA,Accuracy,10,88.98956298828125,10.0963595929171,76.43356323242188,32.65236879503958,-12.555999755859377,-36.378772735595696,8.299358367919917,0.3295,0.921875
Left,SVM,IoU,10,20.834107870178467,18.958331389728283,19.412454136088236,19.106680891693696,-1.4216537340902302,-22.469608236581198,19.05162615977361,0.9075,0.845703125
Left,SVM,Dice,10,31.171399672296253,23.726967946803224,28.762804029360435,26.080931382810093,-2.4085956429358157,-30.254847979174194,25.752989297002653,0.8744,1.0
Left,SVM,Precision,10,32.71627441842277,30.173953264417886,31.944208423122706,35.08349193373876,-0.7720659953000641,-37.81630102135765,36.435864539300816,0.9731,0.921875
Left,SVM,Recall,10,64.66957411797061,23.53362349531048,67.50503229133255,18.141512116817246,2.835458173361944,-18.052398647932115,24.361242714800156,0.8046,0.921875
Left,SVM,Accuracy,10,86.41036987304688,27.08302771882256,85.57144165039062,19.569155473811538,-0.8389282226562499,-21.84914779663086,24.09873580932617,0.9396,0.6953125
Left,LightGBM,IoU,10,6.073302841373051,5.548519157651897,5.413351073896299,3.3025476334004518,-0.6599517674767506,-5.408902281141662,3.1768873596633442,0.8408,0.76953125
Left,LightGBM,Dice,10,11.026596775359298,9.03052694810472,10.105084895616379,5.87680868606708,-0.921511879742921,-8.808143064160525,5.638658524212036,0.8553,0.845703125
Left,LightGBM,Precision,10,6.380540645499917,6.069298456779921,5.736168831680764,3.6883264192243317,-0.6443718138191523,-5.96217858192778,3.6352562701661686,0.8511,0.76953125
Left,LightGBM,Recall,10,68.10780904160272,20.435899655202757,68.15494760398228,16.807822372483265,0.047138562379578364,-18.24940784412914,18.387921717418067,0.9969,1.0
Left,LightGBM,Accuracy,10,81.12152099609375,25.50575991336892,82.6531982421875,17.225520348015667,1.53167724609375,-18.111984252929688,24.786781311035146,0.8744,1.0
Left,KNN,IoU,10,5.095918083500367,4.746349049875438,3.8737756262859984,1.9710780843271207,-1.2221424572143682,-4.954657884602131,1.503552342779861,0.6802,1.0
Left,KNN,Dice,10,9.376310896979726,7.9136982179738915,7.396705319470179,3.6261670690338303,-1.9796055775095485,-8.316720073521127,2.889006677024322,0.6817,1.0
Left,KNN,Precision,10,5.317764740598043,5.111729987623615,3.99441035541208,2.1083736673946767,-1.323354385185963,-5.414284095073626,1.670346655233363,0.6793,1.0
Left,KNN,Recall,10,69.38438512169304,20.666121325641605,70.02766914443026,15.664313603483585,0.6432840227372294,-17.04751335108471,19.050225523322357,0.9453,1.0
Left,KNN,Accuracy,10,77.97653198242188,25.62050451017779,79.70291137695312,16.536431228842012,1.7263793945312502,-18.19280242919922,24.109996795654297,0.8718,1.0
Left,LDA,IoU,10,16.58052096305343,17.21725452222861,14.946234470873982,16.606768493599454,-1.6342864921794498,-19.636318685730608,16.684066742875636,0.8617,0.921875
Left,LDA,Dice,10,25.624035103871517,21.466870646789,22.992287176636477,23.262403415975943,-2.6317479272350375,-26.880772552998238,21.75206370649183,0.8478,0.921875
Left,LDA,Precision,10,20.99858332212138,22.79067377569991,19.494262015907054,24.1764381948464,-1.504321306214329,-25.7291234185113,23.849648877360348,0.9165,0.921875
Left,LDA,Recall,10,70.07360598680468,18.540610860786312,73.26522275459159,14.797234774609985,3.19161676778692,-12.805814324650438,19.745245666694483,0.7238,0.76953125
Left,LDA,Accuracy,10,84.80575561523438,27.27849324169665,81.20269775390625,21.898542767461215,-3.6030578613281254,-26.68649291992187,22.29080963134763,0.7734,0.556640625
Left,QDA,IoU,10,22.965915414147112,17.40455971421885,18.09781115646527,18.754741350408757,-4.86810425768184,-24.42043325694827,13.970344980437572,0.6524,0.76953125
Left,QDA,Dice,10,34.67134104188337,21.36976729134824,26.9455287790208,25.93928223672736,-7.725812262862572,-33.26823437965436,19.082838093828293,0.5802,0.76953125
Left,QDA,Precision,10,32.351338373652524,25.81582667769463,26.866911476200663,30.7160078136964,-5.48442689745187,-36.69192790006148,25.492398581128455,0.7301,0.845703125
Left,QDA,Recall,10,64.50305898508475,20.522385591760177,70.09280255261811,16.603265588885346,5.589743567533352,-12.89245265356756,24.05991688600672,0.5807,0.556640625
Left,QDA,Accuracy,10,89.2864990234375,24.363379553316094,83.4063720703125,20.97975427545468,-5.880126953125,-26.44500732421875,17.40781402587889,0.6092,0.375
Big,SVM,IoU,10,20.314726183719998,19.697960432021606,12.688140917614524,9.682293021590718,-7.626585266105473,-23.911638365352267,7.657859560961377,0.3869,0.4921875
Big,SVM,Dice,10,30.023284054378962,25.533312295521494,21.421171739124368,14.22888691947309,-8.602112315254598,-30.779906567036637,13.29215403322592,0.4685,0.4921875
Big,SVM,Precision,10,29.102654821732298,30.53870866212622,20.444735437054117,24.17743857769089,-8.657919384678191,-36.4919873082661,20.349887718884805,0.5979,0.625
Big,SVM,Recall,10,70.59099809053906,17.37981501103342,69.62839494092744,21.654644221614596,-0.9626031496116272,-21.12346869849292,19.337722828048022,0.9282,0.921875
Big,SVM,Accuracy,10,83.055419921875,16.112392121646984,80.31845092773438,15.301461839547962,-2.736968994140625,-19.78850555419922,14.81689453125,0.7717,0.625
Big,LightGBM,IoU,10,9.817360466559958,8.097055579982108,9.73356893437886,6.4841090702231385,-0.08379153218109683,-7.538478104669931,7.671905724195942,0.9808,1.0
Big,LightGBM,Dice,10,17.023190344171464,12.91701239467744,17.19250903489861,10.307822718566207,0.16931869072714656,-11.646956246433781,12.54151060328234,0.9663,1.0
Big,LightGBM,Precision,10,11.04396172139043,9.743354369930184,13.434950927799584,14.286161107044318,2.3909892064091522,-9.095600283024051,15.589586389995972,0.7373,0.921875
Big,LightGBM,Recall,10,71.49753780289554,13.546764384403545,69.34972858707742,20.490805157501256,-2.147809215818123,-19.50573109768003,14.93922827366712,0.8394,0.921875
Big,LightGBM,Accuracy,10,76.30035400390625,16.999756210190377,77.87567138671875,15.005345899284986,1.5753173828125002,-15.741817474365233,19.695358276367166,0.9105,0.921875
Big,KNN,IoU,10,8.57029673202134,6.5369741527520855,7.312148502194657,3.303645857863379,-1.2581482298266833,-6.270892874479757,3.6399911188654084,0.6794,0.845703125
Big,KNN,Dice,10,15.20624043629573,10.735896445819975,13.470964149140707,5.66163016865273,-1.7352762871550222,-9.943676392943301,6.693945378069635,0.7223,0.845703125
Big,KNN,Precision,10,9.41206524838425,7.690396576574046,8.048230798736252,4.395286530025644,-1.3638344496479962,-7.539841769396979,4.693934505208925,0.6861,0.76953125
