set,image,method,condition,lam,fold,IoU,Dice,Precision,Recall,Accuracy
Vertical,087.jpg,KNN,BC,1.905632008501226,1,0.019352290679304898,0.03796977915536614,0.019468909343752068,0.7636363636363637,0.772674560546875
Vertical,091.jpg,KNN,BC,2.0971587002133107,1,0.023188973806257757,0.04532686414708886,0.023336839337365238,0.7853982300884956,0.771820068359375
Vertical,018.jpg,LDA,BC,1.057373064941097,1,0.020452331998701438,0.04008483563096501,0.02074415541652947,0.5924764890282131,0.86187744140625
Vertical,019.jpg,LDA,BC,1.5941022981400503,1,0.022457891453524642,0.04392922513727883,0.022487116756025195,0.9452954048140044,0.71307373046875
Vertical,021.jpg,LDA,BC,2.945328260543171,1,0.013613053613053613,0.02686045442001656,0.013617180031244899,0.9782244556113903,0.35430908203125
Vertical,087.jpg,LDA,BC,1.905632008501226,1,0.032832320648118536,0.06357725255444319,0.03310404127257094,0.8,0.8615570068359375
Vertical,091.jpg,LDA,BC,2.0971587002133107,1,0.047542948461845785,0.09077040427154844,0.04815214459131373,0.7898230088495575,0.890869140625
Vertical,018.jpg,QDA,BC,1.057373064941097,1,0.03305621536025336,0.06399693427859743,0.034081632653061224,0.5235109717868338,0.9254608154296875
Vertical,019.jpg,QDA,BC,1.5941022981400503,1,0.03153286837809764,0.061137883909947496,0.03160791313401755,0.9299781181619255,0.8008270263671875
Vertical,021.jpg,QDA,BC,2.945328260543171,1,0.015346295998714446,0.030228693519031416,0.01535616658626789,0.9597989949748744,0.4390106201171875
Vertical,087.jpg,QDA,BC,1.905632008501226,1,0.05525606469002695,0.10472541507024266,0.05631868131868132,0.7454545454545455,0.9251251220703125
Vertical,091.jpg,QDA,BC,2.0971587002133107,1,0.06780997437413759,0.12700756876499908,0.06928499496475328,0.7610619469026548,0.9278411865234375
Horizontal,023.jpg,SVM,noBC,,0,0.10643174330325168,0.1923873640600725,0.10986248706195476,0.7731529656607701,0.904815673828125
Horizontal,024.jpg,SVM,noBC,,0,0.12395679921453118,0.22057217733129506,0.13463076512929886,0.6099033816425121,0.9455413818359375
Horizontal,028.jpg,SVM,noBC,,0,0.02500296243630762,0.04878612716763006,0.025384985563041387,0.6242603550295858,0.87445068359375
Horizontal,030.jpg,SVM,noBC,,0,0.07586763518966909,0.14103525881470366,0.08768656716417911,0.36015325670498083,0.9825286865234375
