set,image,method,condition,lam,IoU,Dice,Precision,Recall,Accuracy
Left,045.jpg,KNN,BC,2.5015558467717605,0.26270417422867515,0.416097736255839,0.2828529555446996,0.7866847826086957,0.9752044677734375
Left,045.jpg,LDA,BC,2.5015558467717605,0.3313361294188137,0.4977497749774977,0.3721399730820996,0.751358695652174,0.98297119140625
Left,045.jpg,QDA,BC,2.5015558467717605,0.5005107252298263,0.6671204901293397,0.6684856753069577,0.6657608695652174,0.9925384521484375
Left,046.jpg,SVM,noBC,,0.3492597577388964,0.5177057356608479,0.44935064935064933,0.6105882352941177,0.9852447509765625
Left,046.jpg,LightGBM,noBC,,0.3207207207207207,0.48567530695770805,0.39584877687175685,0.6282352941176471,0.9827423095703125
Left,046.jpg,KNN,noBC,,0.23517212774782248,0.38079247817327067,0.26644736842105265,0.6670588235294118,0.97186279296875
Left,046.jpg,LDA,noBC,,0.3964968152866242,0.5678449258836944,0.5508849557522124,0.5858823529411765,0.988433837890625
Left,046.jpg,QDA,noBC,,0.38478500551267913,0.5557324840764332,0.8596059113300493,0.41058823529411764,0.991485595703125
Left,046.jpg,SVM,BC,1.2805618886866539,0.34615384615384615,0.5142857142857142,0.4423728813559322,0.6141176470588235,0.984954833984375
Left,046.jpg,LightGBM,BC,1.2805618886866539,0.3207207207207207,0.48567530695770805,0.39584877687175685,0.6282352941176471,0.9827423095703125
Left,046.jpg,KNN,BC,1.2805618886866539,0.23682008368200838,0.38294993234100133,0.26875593542260207,0.6658823529411765,0.97216796875
Left,046.jpg,LDA,BC,1.2805618886866539,0.365975696926376,0.5358451072736787,0.4825636192271442,0.6023529411764705,0.9864654541015625
Left,046.jpg,QDA,BC,1.2805618886866539,0.4395833333333333,0.6107091172214182,0.793233082706767,0.4964705882352941,0.991790771484375
Left,053.jpg,SVM,noBC,,0.5145098039215686,0.6794407042982911,0.6018348623853211,0.7800237812128419,0.9905548095703125
Left,053.jpg,LightGBM,noBC,,0.3992932862190813,0.5707070707070707,0.44169381107491856,0.8061831153388823,0.98443603515625
Left,053.jpg,KNN,noBC,,0.36707511987213637,0.5370226032735775,0.39942028985507244,0.8192627824019025,0.98187255859375
Left,053.jpg,LDA,noBC,,0.6260245901639344,0.7700063011972275,0.8190348525469169,0.7265160523186682,0.9944305419921875
Left,053.jpg,QDA,noBC,,0.5981941309255079,0.748587570621469,0.9217391304347826,0.6302021403091558,0.99456787109375
Left,053.jpg,SVM,BC,3.1736569775151935,0.48484848484848486,0.6530612244897959,0.5616438356164384,0.7800237812128419,0.9893646240234375
Left,053.jpg,LightGBM,BC,3.1736569775151935,0.3992932862190813,0.5707070707070707,0.44169381107491856,0.8061831153388823,0.98443603515625
Left,053.jpg,KNN,BC,3.1736569775151935,0.36707511987213637,0.5370226032735775,0.39942028985507244,0.8192627824019025,0.98187255859375
Left,053.jpg,LDA,BC,3.1736569775151935,0.34979633401221993,0.5182949830252734,0.37955801104972375,0.816884661117717,0.9805145263671875
Left,053.jpg,QDA,BC,3.1736569775151935,0.5823475887170154,0.7360552041403106,0.7126948775055679,0.760998810939358,0.9929962158203125
Left,054.jpg,SVM,noBC,,0.15569823434991975,0.26944444444444443,0.19284294234592445,0.4470046082949309,0.975921630859375
Left,054.jpg,LightGBM,noBC,,0.11967617036254839,0.2137692549512732,0.13438735177865613,0.522273425499232,0.9618377685546875
Left,054.jpg,KNN,noBC,,0.11032863849765258,0.19873150105708245,0.12001276731567188,0.5775729646697388,0.9537353515625
Left,054.jpg,LDA,noBC,,0.10157618213660245,0.18441971383147854,0.11143131604226705,0.5345622119815668,0.953033447265625
Left,054.jpg,QDA,noBC,,0.23319327731092437,0.3781942078364566,0.42447418738049714,0.34101382488479265,0.988861083984375
Left,054.jpg,SVM,BC,1.7176103567859209,0.15123456790123457,0.26273458445040215,0.18525519848771266,0.45161290322580644,0.974822998046875
Left,054.jpg,LightGBM,BC,1.7176103567859209,0.11359093937375084,0.20400837571043973,0.12667161961367013,0.5238095238095238,0.9593963623046875
Left,054.jpg,KNN,BC,1.7176103567859209,0.1103610214264749,0.19878403383558021,0.12005108556832694,0.5775729646697388,0.9537506103515625
Left,054.jpg,LDA,BC,1.7176103567859209,0.09855972889014403,0.1794344473007712,0.10774930534115468,0.5360983102918587,0.9512939453125
Left,054.jpg,QDA,BC,1.7176103567859209,0.19408642911296436,0.3250793650793651,0.27705627705627706,0.3932411674347158,0.9837799072265625
Left,056.jpg,SVM,noBC,,0.1878585086042065,0.31629778672032194,0.22291548496880317,0.5443213296398892,0.9740753173828125
Left,056.jpg,LightGBM,noBC,,0.1709781729991916,0.29202623403520883,0.19448275862068964,0.5858725761772853,0.9687042236328125
Left,056.jpg,KNN,noBC,,0.13695781342840166,0.24091978050692447,0.14847020933977456,0.6385041551246537,0.9556732177734375
Left,056.jpg,LDA,noBC,,0.2127022168963451,0.35079051383399207,0.2726574500768049,0.4916897506925208,0.979949951171875
Left,056.jpg,QDA,noBC,,0.25143513203214696,0.4018348623853211,0.595108695652174,0.3033240997229917,0.99005126953125
Left,056.jpg,SVM,BC,0.5842815200398385,0.1902676399026764,0.3197056418642682,0.22679814385150812,0.5415512465373962,0.974609375
Left,056.jpg,LightGBM,BC,0.5842815200398385,0.1709781729991916,0.29202623403520883,0.19448275862068964,0.5858725761772853,0.9687042236328125
Left,056.jpg,KNN,BC,0.5842815200398385,0.13630987581312834,0.2399167317200104,0.14770906760653638,0.6385041551246537,0.9554290771484375
Left,056.jpg,LDA,BC,0.5842815200398385,0.2127022168963451,0.35079051383399207,0.2726574500768049,0.4916897506925208,0.979949951171875
Left,056.jpg,QDA,BC,0.5842815200398385,0.2557628979143798,0.40734265734265734,0.5521327014218009,0.32271468144044324,0.989654541015625
Left,057.jpg,SVM,noBC,,0.26259541984732826,0.4159613059250302,0.32887189292543023,0.5657894736842105,0.9778900146484375
Left,057.jpg,LightGBM,noBC,,0.18845897264843228,0.3171484703901207,0.21312712184081478,0.6195175438596491,0.9628753662109375
Left,057.jpg,KNN,noBC,,0.1847892486255345,0.31193606599639084,0.20390967307044153,0.6633771929824561,0.9592742919921875
Left,057.jpg,LDA,noBC,,0.17292549969715323,0.294861864187968,0.1928402566700439,0.6260964912280702,0.9583282470703125
Left,057.jpg,QDA,noBC,,0.39690721649484534,0.5682656826568265,0.6470588235294118,0.506578947368421,0.989288330078125
Left,057.jpg,SVM,BC,1.6214949352819639,0.2483349191246432,0.3978658536585366,0.30490654205607476,0.5723684210526315,0.97589111328125
Left,057.jpg,LightGBM,BC,1.6214949352819639,0.18845897264843228,0.3171484703901207,0.21312712184081478,0.6195175438596491,0.9628753662109375
Left,057.jpg,KNN,BC,1.6214949352819639,0.18584615384615386,0.3134405812143228,0.2053025152957172,0.6622807017543859,0.959625244140625
Left,057.jpg,LDA,BC,1.6214949352819639,0.14732142857142858,0.25680933852140075,0.15993537964458804,0.6513157894736842,0.947540283203125
Left,057.jpg,QDA,BC,1.6214949352819639,0.2229114971050455,0.3645586743320933,0.26356968215158927,0.5910087719298246,0.9713287353515625
Left,059.jpg,SVM,noBC,,0.3158783783783784,0.48010269576379977,0.43187066974595845,0.5404624277456648,0.9814605712890625
Left,059.jpg,LightGBM,noBC,,0.2767475035663338,0.4335195530726257,0.3533697632058288,0.5606936416184971,0.9767913818359375
Left,059.jpg,KNN,noBC,,0.18640093786635403,0.3142292490118577,0.21129568106312294,0.6127167630057804,0.9576416015625
Left,059.jpg,LDA,noBC,,0.31620553359683795,0.4804804804804805,0.43310131477184843,0.5394990366088632,0.9815216064453125
Left,059.jpg,QDA,noBC,,0.38626609442060084,0.5572755417956656,0.779896013864818,0.43352601156069365,0.9890899658203125
Left,059.jpg,SVM,BC,1.5543589808975768,0.3153759820426487,0.47952218430034127,0.43032159264931086,0.5414258188824663,0.98138427734375
Left,059.jpg,LightGBM,BC,1.5543589808975768,0.2767475035663338,0.4335195530726257,0.3533697632058288,0.5606936416184971,0.9767913818359375
Left,059.jpg,KNN,BC,1.5543589808975768,0.1853686971728359,0.31276124907794445,0.2099702872235061,0.6127167630057804,0.9573516845703125
Left,059.jpg,LDA,BC,1.5543589808975768,0.2694610778443114,0.42452830188679247,0.340512223515716,0.5635838150289018,0.975799560546875
Left,059.jpg,QDA,BC,1.5543589808975768,0.37334315169366716,0.5436997319034853,0.6130592503022975,0.4884393063583815,0.9870147705078125
Left,060.jpg,SVM,noBC,,0.45010467550593164,0.6207892204042348,0.6056338028169014,0.6367226061204343,0.98797607421875
Left,060.jpg,LightGBM,noBC,,0.3932384341637011,0.5644955300127714,0.4962574850299401,0.6544916090819348,0.9843902587890625
Left,060.jpg,KNN,noBC,,0.22038484666265784,0.3611727026361173,0.2406434668417597,0.7235932872655478,0.9604339599609375
Left,060.jpg,LDA,noBC,,0.4297956493078444,0.6011987090825265,0.5640138408304498,0.6436327739387957,0.9868011474609375
Left,060.jpg,QDA,noBC,,0.5508474576271186,0.7103825136612022,0.9227129337539433,0.577492596248766,0.9927215576171875
Left,060.jpg,SVM,BC,2.389885888533376,0.4297956493078444,0.6011987090825265,0.5640138408304498,0.6436327739387957,0.9868011474609375
Left,060.jpg,LightGBM,BC,2.389885888533376,0.3932384341637011,0.5644955300127714,0.4962574850299401,0.6544916090819348,0.9843902587890625
Left,060.jpg,KNN,BC,2.389885888533376,0.2196583757866347,0.3601965601965602,0.23977755969905135,0.7235932872655478,0.96026611328125
Left,060.jpg,LDA,BC,2.389885888533376,0.1975964225824483,0.32998833138856476,0.21607579462102688,0.6979269496544916,0.9561920166015625
Left,060.jpg,QDA,BC,2.389885888533376,0.3596774193548387,0.5290628706998813,0.4412928759894459,0.6604146100691016,0.9818267822265625
Left,061.jpg,SVM,noBC,,0.5425342058298632,0.7034323177786348,0.6935361216730038,0.7136150234741784,0.9882659912109375
